1,68.19,72.5,40.75,60.0
2,67.75,71.87,40.75,60.0
3,67.25,71.25,40.75,60.0
4,66.81,70.69,40.81,60.0
5,66.37,70.12,40.88,60.0
6,66.0,69.62,40.88,60.0
7,65.56,69.12,40.94,60.0
8,65.25,68.69,40.94,60.0
9,64.87,68.25,40.94,60.0
10,64.5,67.81,41.0,60.0
11,64.19,67.44,40.94,60.0
12,63.88,67.06,41.06,60.0
13,63.56,66.69,41.0,60.0
14,63.25,66.31,41.0,60.0
15,63.0,65.94,41.0,60.0
16,62.69,65.62,41.0,60.0
17,62.44,65.25,40.94,60.0
18,62.13,65.0,40.94,60.0
19,61.88,64.62,40.94,60.0
20,61.63,64.37,41.0,60.0
21,61.38,64.06,40.94,60.0
22,61.13,63.75,40.94,60.0
23,60.88,63.5,40.88,60.0
24,60.63,63.19,40.94,60.0
25,60.44,62.94,40.88,60.0
26,60.19,62.69,40.88,60.0
27,59.94,62.44,40.81,60.0
28,59.75,62.13,40.75,60.0
29,59.5,61.88,40.75,60.0
30,59.31,61.63,40.69,60.0
31,59.69,61.38,40.75,60.0
32,60.63,61.13,40.69,60.0
33,61.75,60.88,40.63,60.0
34,62.44,60.63,40.56,60.0
35,62.63,60.31,40.56,60.0
36,62.63,60.06,40.5,60.0
37,62.44,59.81,40.5,60.0
38,62.13,59.56,40.44,60.0
39,61.81,59.31,40.44,60.0
40,61.44,59.13,40.44,60.0
41,61.06,59.25,40.44,60.0
42,60.69,60.38,40.44,60.0
43,60.31,62.0,40.44,60.0
44,60.0,63.88,40.38,60.0
45,59.69,65.81,40.38,60.0
46,60.0,67.5,40.31,60.0
47,60.81,68.12,40.38,60.0
48,61.88,68.25,40.31,60.0
49,62.5,67.94,40.25,60.0
50,62.63,67.5,40.19,60.0
51,62.5,66.87,40.19,60.0
52,62.25,66.19,40.13,60.0
53,61.94,65.5,40.13,60.0
54,61.56,64.81,40.13,60.0
55,61.13,64.19,40.13,60.0
56,60.69,63.56,40.06,60.0
57,60.31,62.94,40.06,60.0
58,59.94,62.38,40.06,60.0
59,59.56,61.88,40.0,60.0
60,59.81,61.38,40.06,60.0
61,60.63,60.88,40.0,60.0
62,61.75,60.44,40.0,60.0
63,62.31,60.0,39.88,60.0
64,62.44,59.63,39.88,60.0
65,62.25,59.25,39.88,60.0
66,62.0,58.88,39.88,60.0
67,61.69,58.94,39.88,60.0
68,61.25,60.0,39.88,60.0
69,60.81,61.56,39.88,60.0
