Time,Front-temp,Front-temp Setting,Back-temp,Back-temp Setting,Metal Temp
0.9386429786682129,4.3,4.3,4.3,4.3,4.3
1.9480116367340088,4.3,4.3,4.3,4.3,4.3
2.955612897872925,4.3,4.3,4.3,4.3,4.3
3.9634597301483154,4.3,4.3,4.3,4.3,4.3
4.969250679016113,4.3,4.3,4.3,4.3,4.3
5.988883018493652,4.3,4.3,4.3,4.3,4.3
6.995365858078003,4.3,4.3,4.3,4.3,4.3
8.001752853393555,4.3,4.3,4.3,4.3,4.3
9.008899927139282,4.3,4.3,4.3,4.3,4.3
10.014578819274902,4.3,4.3,4.3,4.3,4.3
11.020569801330566,4.3,4.3,4.3,4.3,4.3
12.026246786117554,4.3,4.3,4.3,4.3,4.3
13.032427787780762,4.3,4.3,4.3,4.3,4.3
14.038477897644043,4.3,4.3,4.3,4.3,4.3
15.043998003005981,4.3,4.3,4.3,4.3,4.3
16.050219774246216,4.3,4.3,4.3,4.3,4.3
17.055254697799683,4.3,4.3,4.3,4.3,4.3
18.060595989227295,4.3,4.3,4.3,4.3,4.3
19.066787719726562,4.3,4.3,4.3,4.3,4.3
20.07312273979187,4.3,4.3,4.3,4.3,4.3
21.079676866531372,4.3,4.3,4.3,4.3,4.3
22.085376977920532,61.132999999999996,59.599999999999994,4.3,4.3,4.3
23.09042191505432,40.833,59.599999999999994,4.3,4.3,4.3
24.097242832183838,40.833,59.599999999999994,4.3,4.3,4.3
25.102593660354614,40.833,59.599999999999994,4.3,4.3,4.3
26.110538959503174,40.875,59.599999999999994,4.3,4.3,4.3
27.116693019866943,41.092,59.599999999999994,59.641999999999996,59.599999999999994,4.3
28.12252974510193,41.224999999999994,59.599999999999994,39.916,59.599999999999994,4.3
29.128676891326904,41.4,59.599999999999994,39.867,59.599999999999994,4.3
30.13422393798828,41.574999999999996,59.599999999999994,39.867,59.599999999999994,4.3
31.140679836273193,41.925,59.599999999999994,40.042,59.599999999999994,4.3
32.1465847492218,42.099999999999994,59.599999999999994,40.217,59.599999999999994,4.3
33.154000759124756,42.317,59.599999999999994,40.391999999999996,59.599999999999994,4.3
34.16034984588623,42.492,59.599999999999994,40.875,59.599999999999994,4.3
35.16768789291382,42.93299999999999,59.599999999999994,41.18299999999999,59.599999999999994,4.3
36.17598795890808,43.15,59.599999999999994,41.491,59.599999999999994,4.3
37.182180881500244,43.367,59.599999999999994,41.792,59.599999999999994,4.3
38.18818187713623,43.849999999999994,59.599999999999994,42.407999999999994,59.599999999999994,4.3
39.19358491897583,44.067,59.599999999999994,42.757999999999996,59.599999999999994,4.3
40.198978900909424,44.333,59.599999999999994,43.108,59.599999999999994,4.3
41.20626187324524,44.55,59.599999999999994,43.80799999999999,59.599999999999994,4.3
42.21426272392273,44.766999999999996,59.599999999999994,44.116,59.599999999999994,4.3
43.21940779685974,45.25,59.599999999999994,44.466,59.599999999999994,4.3
44.22480082511902,45.467,59.599999999999994,44.816,59.599999999999994,4.3
45.230658769607544,45.949999999999996,59.599999999999994,45.516,59.599999999999994,4.3
46.23721504211426,46.167,59.599999999999994,45.866,59.599999999999994,4.3
47.244722843170166,46.391,59.599999999999994,46.167,59.599999999999994,4.3
48.251489877700806,46.65,59.599999999999994,46.867,59.599999999999994,4.3
49.25791072845459,47.091,59.599999999999994,47.217,59.599999999999994,4.3
50.26287579536438,47.30799999999999,59.599999999999994,47.525,59.599999999999994,4.3
51.26899790763855,47.525,59.599999999999994,48.18299999999999,59.599999999999994,4.3
52.27662801742554,47.966,59.599999999999994,48.491,59.599999999999994,4.3
53.28307366371155,48.18299999999999,59.599999999999994,48.841,59.599999999999994,4.3
54.289092779159546,48.358,59.599999999999994,49.141999999999996,59.599999999999994,4.3
55.29411268234253,48.792,59.599999999999994,49.757999999999996,59.599999999999994,4.3
56.30036997795105,48.967,59.599999999999994,50.059,59.599999999999994,4.3
57.30754280090332,49.191,59.599999999999994,50.367,59.599999999999994,4.3
58.31493782997131,49.407999999999994,59.599999999999994,50.934,59.599999999999994,4.3
59.320995807647705,49.8,59.599999999999994,51.242,59.599999999999994,4.3
60.32794690132141,49.974999999999994,59.599999999999994,51.55,59.599999999999994,4.3
61.33428978919983,50.15,59.599999999999994,51.809,59.599999999999994,4.3
62.341991901397705,50.542,59.599999999999994,52.382999999999996,59.599999999999994,4.3
63.36666488647461,50.717,59.599999999999994,52.641999999999996,59.599999999999994,4.3
64.37293887138367,50.891999999999996,59.599999999999994,52.907999999999994,59.599999999999994,4.3
65.37898397445679,51.067,59.599999999999994,53.384,59.599999999999994,4.3
66.38416695594788,51.417,59.599999999999994,53.65,59.599999999999994,4.3
67.39011001586914,51.592,59.599999999999994,53.909,59.599999999999994,4.3
68.3962869644165,51.766999999999996,59.599999999999994,54.391999999999996,59.599999999999994,4.3
69.40239381790161,52.074999999999996,59.599999999999994,54.609,59.599999999999994,4.3
70.40873980522156,52.25,59.599999999999994,54.875,59.599999999999994,4.3
71.41600894927979,52.425,59.599999999999994,55.092,59.599999999999994,4.3
72.4235200881958,52.733,59.599999999999994,55.574999999999996,59.599999999999994,4.3
73.42883586883545,52.907999999999994,59.599999999999994,55.792,59.599999999999994,4.3
74.43481087684631,53.034,59.599999999999994,56.009,59.599999999999994,4.3
75.44114685058594,53.209,59.599999999999994,56.449999999999996,59.599999999999994,4.3
76.44706892967224,53.516999999999996,59.599999999999994,56.625,59.599999999999994,4.3
77.45294690132141,53.65,59.599999999999994,56.842,59.599999999999994,4.3
78.45855283737183,53.782999999999994,59.599999999999994,57.059,59.599999999999994,4.3
